Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37
"(Polanowski et al., 2014)","Polanowski, A.","Robbins, J.","Chandler, D.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Horvath et al., 2022a)","Horvath, S.","Haghani, A.","Zoller, J.A.","Fei, Z.","Bérubé, M.","Robbins, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Beal et al., 2019)","Beal, A.P.","Kiszka, J.J.","Wells, R.S.","Eirin-Lopez, J.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Robeck et al., 2021a)","Robeck, T.R.","Fei, Z.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Steinman, K.J.","Dirocco, S.","Staggs, L.","Schmitt, T.","Osborn, S.","Montano, G.","Rodriguez, M.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,
"(Bors et al., 2021)","Bors, E.K.","Baker, C.S.","Wade, P.R.","O'Neill, K.B.","Shelden, K.E.W.","Thompson, M.J.","Fei, Z.","Jarman, S.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Mayne et al., 2021b)","Mayne, B.","Espinoza, T.","Roberts, D.","Butler, G.L.","Brooks, S.","Korbie, D.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Mayne et al., 2022)","Mayne, B.","Mustin, W.","Baboolal, V.","Casella, F.","Ballorain, K.","Barret, M.","Vanderklift, M.A.","Tucker, A.D.","Korbie, D.","Jarman, S.N.","Berry, O.",,,,,,,,,,,,,,,,,,,,,,,,,,
"(Anastasiadi et al., 2020)","Anastasiadi, D.","Piferrer, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(De Paoli-Iseppi et al., 2019)","De Paoli-Iseppi, R.","Deagle, B.E.","Polanowski, A.M.","McMahon, C.R.","Dickinson, J.L.","Hindell, M.A.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Anderson et al., 2021)","Anderson, J.A.","Johnston, R.A.","Lea, A.J.","Campos, F.A.","Voyles, T.N.","Akinyi, M.Y.","Alberts, S.C.","Archie, E.A.","Tung, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
