Paper,Year
Anastasiadi et al. (2020),2020
Anderson et al. (2021),2021
Beal et al. (2019),2019
Bors et al. (2021),2021
Cossette et al. (2022),2022
De Paoli-Iseppi et al. (2019),2019
Guevara et al. (2020),2020
Horvath et al. (2021a),2021
Horvath et al. (2021b),2021
Horvath et al. (2022a),2022
Horvath et al. (2022b),2022
Horvath et al. (2022c),2022
Horvath et al. (2022d),2022
Horvath et al. (2022e),2022
Ito et al. (2018),2018
Jasinska et al. (2022),2022
Kerepesi et al. (2022),2022
Kordowitzki et al. (2021),2021
Larison et al. (2021b),2021
Lemaitre et al. (2022),2022
Little et al. (2020),2020
Lowe et al. (2020),2020
Mayne et al. (2021b),2021
Mayne et al. (2022),2022
Meyer et al. (2023),2023
Nilsen et al. (2016),2016
Parrott et al. (2014),2014
Polanowski et al. (2014),2014
Prado et al. (2021),2021
Qi et al. (2021),2021
Raj et al. (2021),2021
Robeck et al. (2021a),2021
Robeck et al. (2021b),2021
Robeck et al. (2023),2023
Schachtschneider et al. (2021),2021
Soulsbury et al. (2018),2018
Sugrue et al. (2021),2021
Thompson et al. (2017),2017
Wilkinson et al. (2021),2021
Wright et al. (2018),2018
Zoller et al. (2022),2022
