Author,Pubs
"Raj, K.",10
"Breeze, C.E.",2
"Wooding, B.",1
"Pellerin, M.",1
"Akinyi, M.Y.",1
"Lange, T.R.",1
"Li, C.Z.",11
"Ostrander, E.A.",1
"Ransome, R.D.",1
"Eirin-Lopez, J.M.",1
"Horvath, S.",24
"Spangler, M.L.",1
"Lee, S.G.",1
"Duhayer, J.",1
"Chandler, D.",1
"Somerville, S.E.",1
"Faure, P.A.",1
"Arnold, B.D.",1
"Coppola, G.",1
"Russell, J.",1
"Meudt, J.J.",1
"Dempster, E.L.",1
"Delaney, J.P.",1
"Bawden, C.S.",1
"Herrera, M.",1
"Rydkina, E.",1
"Rey, B.",1
"Belov, K.",1
"Guillette, L.J.",2
"Staggs, L.",2
"Yang, A.",1
"Polanowski, A.M.",1
"Choi, O.W.",1
"McMahon, C.R.",1
"Wright, P.G.R.",1
"Caswara, C.",1
"De Paoli-Iseppi, R.",1
"Lawler, R.",1
"Bradley, Brenda J.",1
"Bellone, R.R.",1
"Shafer, A.B.A.",1
"Inoue-Murayama, M.",2
"Rakyan, V.K.",1
"Qi, H.",1
"Freimer, N.B.",1
"Tung, J.",1
"Hore, R.R.",1
"Cooper, L.N.",1
"Anderson, J.A.",1
"Parasyraki, E.",1
"Pellegrini, M.",2
"Yildizoglu, S.",1
"Maddox, D.",2
"Arneson, A.",1
"Régis, C.",1
"Peng, S.",1
"Kavanagh, K.",1
"Cloy-McCoy, J.A.",1
"Hogg, C.J.",1
"Sugrue, V.J.",1
"Szladovits, B.",1
"Black, P.",2
"Meer, M.V.",1
"Kucklick, J.R.",1
"Wood, J.",1
"Pope, B.",1
"Yao, M.",1
"Thompson, M.J.",2
"Levine, M.E.",1
"Mountcastle, J.",1
"Schmitt, D.",1
"Snell, R.G.",1
"Pardonnet, S.",1
"Berry, O.",1
"Greville, L.J.",1
"Morris, C.",1
"Mathews, F.",1
"Korbie, D.",2
"Baker, C.S.",1
"Park, T.J.",1
"Gerardo, L. ",1
"Danson, A.F.",1
"Voyles, T.N.",1
"Brown, J.L.",1
"Robeck, T.R.",8
"Lu, A.T.",6
"Ernst, J.",2
"Beal, A.P.",1
"Manoyan, M.",1
"Schmitt, T.",2
"Anastasiadi, D.",1
"Amoroso, V.G.",1
"Barsh, G.S.",1
"Lemaître, J.F.",1
"Kassim, B.L.",1
"Couzens, A.",1
"Brunell, A.M.",1
"Hale, M.D.",1
"Long, S.E.",1
"Ortega-Recalde, O.J.",1
"Ito, H.",1
"Jorgensen, M.J.",1
"Takasugi, M.",1
"Bérubé, M.",1
"Rambaut, A.",1
"Rainwater, T.R.",1
"Devanna, P.",1
"Finno, C.J.",2
"Serres-Armero, A.",1
"Shanmuganayagam, D.",1
"Lipponen, A.",1
"Carter, G.",1
"Reinhardt, J.A.",1
"Seluanov, A.",2
"Howe, K.",1
"Udono, T.",1
"Montano, G.",3
"O'Neill, K.B.",1
"Jarman, S.N.",5
"Chow, W.",1
"Jarvis, E.D.",1
"Yang, X.W.",1
"Burrage, J.",1
"Vernes, S.C.",1
"Uliano-Silva, M.",1
"Galazyuk, A.V.",1
"Robbins, J.",2
"Smith, A.",1
"Lebigre, C.",1
"Soulsbury, C.D.",1
"Faulkes, C.G.",2
"Hirata, S.",1
"Yim, S.H.",1
"Cossette, M.L.",1
"Hurme, E.",1
"Teeling, E.C.",1
"Wilkinson, P.M.",1
"Flores-Martínez, J.",1
"Kiszka, J.J.",1
"Stewart, D.T.",1
"Kinoshita, K.",1
"Jasinska, A.J.",3
"Alberts, S.C.",1
"White, C.M.",1
"Fei, Z.",5
"Hoffman, J.I.",1
"Haghani, A.",21
"Knörnschild, M.",1
"Bryan, T.A.",1
"Jones, G.",1
"Viltard, M.",1
"Mayne, B.",2
"Herrick, K.E.S.",1
"Ballorain, K.",1
"Osborn, S.",2
"Nagy, M.",1
"Deagle, B.E.",1
"Pedersen, A.B.",1
"Dickinson, J.L.",1
"Hindell, M.A.",1
"Talbott, A.",1
"Bond, D.M.",1
"Emmrich, S.",1
"Matsui, Y.",1
"Meyer, B.S.",1
"Mein, C.A.",1
"Mayer, F.",1
"Garratt, M.",1
"Maldonado, J.E.",1
"Macoretta, N.",1
"Shelden, K.E.W.",1
"Campana, M.G.",1
"Lau, C.",1
"Schook, L.B.",1
"Liedvogel, M.",1
"Lowe, R.",1
"Matsumoto, K.",1
"Katsumata, E.",1
"Brooke, R.T.",1
"Rodriguez, M.",2
"Zhang, B.",1
"Adams, D.M.",1
"Dreger, D.L.",1
"Salmon, A.B.",1
"Sherwood, C.",1
"Mattison, J.A.",3
"Johnston, R.A.",1
"Fedrigo, O.",1
"Vanderklift, M.A.",1
"Bors, E.K.",1
"Moiron, M.",1
"Wells, R.S.",1
"Vaughan, K.L.",1
"Wood, K.",1
"Sinha, I.",1
"Casella, F.",1
"Haase, B.",1
"Guevara, E.",1
"Trapp, A.",1
"Staes, N.",1
"Hore, T.A.",1
"Zhang, J.",3
"Baboolal, V.",1
"Zhao, Y.",1
"Brooks, S.",1
"Dirocco, S.",2
"Chandra, T.",1
"Débias, F.",1
"Archie, E.A.",1
"Fasel, N.J.",1
"Schofield, H.",1
"Rudiger, S.R.",1
"Niehrs, C.",1
"Ablaeva, J.",2
"Lea, A.J.",1
"Schachtschneider, K.M.",1
"Hales, E.N.",1
"Wojta, K.",1
"von Holdt, B.",1
"Little, T.J.",1
"DeYoung, J.",1
"Mustin, W.",1
"Hopkins, W.D.",1
"Larison, B.",2
"Roberts, D.",1
"Bouwhuis, S.",1
"Hogan, A.N.",1
"Campos, F.A.",1
"Petersen, J.L.",1
"Plassais, J.",1
"Kerepesi, C",1
"Ruiz, Y.A.",1
"Saldmann, F.",1
"Butler, G.L.",1
"Tucker, A.D.",1
"Kohno, S.",1
"Woods, R.P.",1
"Medellin, R.A.",1
"Gorbunova, V.",2
"Pinho, G.M.",1
