Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37,Bias
Anastasiadi et al. (2020),0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004750593824228029
Anderson et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02137767220902613
Beal et al. (2019),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009501187648456057
Bors et al. (2021),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.011876484560570071,0.011876484560570071,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09738717339667458
Cossette et al. (2022),0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.0498812351543943,0.0023752969121140144,0.057007125890736345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16389548693586697
De Paoli-Iseppi et al. (2019),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.011876484560570071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026128266033254157
Guevara et al. (2020),0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019002375296912115
Horvath et al. (2021a),0.057007125890736345,0.0498812351543943,0.0498812351543943,0.007125890736342043,0.023752969121140142,0.004750593824228029,0.004750593824228029,0.0023752969121140144,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20665083135391926
Horvath et al. (2021b),0.057007125890736345,0.0498812351543943,0.0498812351543943,0.014251781472684086,0.023752969121140142,0.007125890736342043,0.007125890736342043,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21140142517814728
Horvath et al. (2022a),0.057007125890736345,0.0498812351543943,0.0023752969121140144,0.004750593824228029,0.0498812351543943,0.026128266033254157,0.007125890736342043,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.023752969121140142,0.004750593824228029,0.004750593824228029,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,0.24703087885985747
Horvath et al. (2022b),0.057007125890736345,0.0498812351543943,0.0023752969121140144,0.0023752969121140144,0.0498812351543943,0.023752969121140142,0.004750593824228029,0.019002375296912115,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21852731591448932
Horvath et al. (2022c),0.057007125890736345,0.0498812351543943,0.0498812351543943,0.011876484560570071,0.0023752969121140144,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17577197149643706
