Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37
Angelier et al. (2013),"Angelier, F.","Vleck, C.M.","Holberton, R.L.","Marra, P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apfelbeck et al. (2019),"Apfelbeck, B.","Haussmann, M.F.","Boner, W.","Flinks, H.","Griffiths, K.","Illera, J.C.","Mortega, K.G.","Sisson, Z.","Smiddy, P.","Helm, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Asghar et al. (2015),"Asghar, M.","Bensch, S.","Tarka, M.","Hansson, B.","Hasselquist, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aydinonat et al. (2014),"Aydinonat, D.","Penn, D.J.","Smith, S.","Moodley, Y.","Hoelzl, F.","Knauer, F.","Schwarzenberger, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baerlocher et al. (2003),"Baerlocher, G.M.","Mak, J.","Röth, A.","Rice, K.S.","Lansdorp, P.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrett et al. (2013),"Barrett, E.L.B.","Burke, T.A.","Hammers, M.","Komdeur, J.","Richardson, D.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauch et al. (2014),"Bauch, C.","Becker, P.H.","Verhulst, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauch et al. (2020),"Bauch, C.","Gatt, M.C.","Granadeiro, J.P.","Verhulst, S.","Catry, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauch et al. (2021),"Bauch, C.","Boonekamp, J.J.","Korsten, P.","Mulder, E.","Verhulst, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauer et al. (2018),"Bauer, C.M.","Graham, J.L.","AbolinsAbols, M.","Heidinger, B.J.","Ketterson, E.D.","Greives, T.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beirne et al. (2014),"Beirne, C.","Delahay, R.","Hares, M.","Young, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bize et al. (2009),"Bize, P.","Criscuolo, F.","Metcalfe, N.B.","Nasir, L.","Monaghan, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brümmendorf et al. (2002),"Brümmendorf, T.H.","Mak, J.","Sabo, K.M.","Baerlocher, G.M.","Dietz, K.","Abkowitz, J.L.","Lansdorp, P.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddhachat et al. (2017),"Buddhachat, K.","Kriangwanich, W.","Kumoun, S.","Brown, J.L.","Chailangkarn, S.","Somgird, C.","Thitaram, C.","Prasitwattanaseree, S.","Nganvongpanit, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burraco et al. (2020),"Burraco, P.","Comas, M.","Reguera, S.","ZamoraCamacho, F.J.","MorenoRueda, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerchiara et al. (2017),"Cerchiara, J.A.","Risques, R.A.","Prunkard, D.","Smith, J.R.","Kane, O.J.","Boersma, P.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherdsukjai et al. (2020),"Cherdsukjai, P.","Buddhachat, K.","Brown, J.","Kaewkool, M.","Poommouang, A.","Kaewmong, P.","Kittiwattanawong, K.","Nganvongpanit, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denham et al. (2019),"Denham, J.","Stevenson, K.","Denham, M.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fick et al. (2012),"Fick, L.J.","Fick, G.H.","Li, Z.","Cao, E.","Bao, B.","Heffelfinger, D.","Parker, H.G.","Ostrander, E.A.","Riabowol, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foley et al. (2018),"Foley, N.M.","Hughes, G.M.","Huang, Z.","Clarke, M.","Jebb, D.","Whelan, C.V.","Petit, E.J.","Touzalin, F.","Farcy, O.","Jones, G.","Ransome, R.D.","Kacprzyk, J.","O’Connell, M.J.","Kerth, G.","Rebelo, H.","Rodrigues, L.","Puechmaille, S.J.","Teeling, E.C.",,,,,,,,,,,,,,,,,,,
Froy et al. (2021),"Froy, H.","Underwood, S.L.","Dorrens, J.","Seeker, L.A.","Watt, K.","Wilbourn, R.V.","Pilkington, J.G.","Harrington, L.","Pemberton, J.M.","Nussey, D.H.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Garde et al. (2010),"Garde, E.","Frie, A.K.","Dunshea, G.","Hansen, S.H.","Kovacs, K.M.","Lydersen, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatase et al. (2008),"Hatase, H.","Sudo, R.","Watanabe, K.K.","Kasugai, T.","Saito, T.","Okamoto, H.","Uchida, I.","Tsukamoto, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haussmann et al. (2003),"Haussmann, M.F.","Vleck, C.M.","Nisbet, I.C.T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidinger et al. (2012),"Heidinger, B.J.","Blount, J.D.","Boner, W.","Griffiths, K.","Metcalfe, N.B.","Monaghan, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horn et al. (2008),"Horn, T.","Gemmell, N.J.","Robertson, B.C.","Bridges, C.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ineson et al. (2020),"Ineson, K.M.","O'Shea, T.J.","Kilpatrick, C.W.","Parise, K.L.","Foster, J.T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izzo (2010),"Izzo, C.","Hamer, D.J.","Bertozzi, T.","Donnellan, S.C.","Gillanders, B.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izzo et al. (2011),"Izzo, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juola et al. (2006),"Juola, F.A.","Haussmann, M.F.","Dearborn, D.C.","Vleck, C.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kärkkäinen et al. (2019),"Kärkkäinen, T.","Teerikorpi, P.","Panda, B.","Helle, S.","Stier, A.","Laaksonen, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kärkkäinen et al. (2021),"Kärkkäinen, T.","Laaksonen, T.","Burgess, M.","Cantarero, A.","Martínez-Padilla, J.","Potti, J.","Moreno, J.","Thomson, R.L.","Tilgar, V.","Stier, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirby et al. (2017),"Kirby, R.","Alldredge, M.W.","Pauli, J.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee et al. (2002),"Lee, W.W.","Nam, K.H.","Terao, K.","Yoshikawa, Y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonida et al. (2020),"Leonida, S.R.L.","Bennett, N.C.","Leitch, A.R.","Faulkes, C.G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewin et al. (2015),"Lewin, N.","Treidel, L.A.","Holekamp, K.E.","Place, N.J.","Haussmann, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lundsgaard et al. (2022),"Lundsgaard, N.U.","Cramp, R.L.","Franklin, C.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKevitt et al. (2002),"McKevitt, T.P.","Nasir, L.","Devlin, P.","Argyle, D.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKevitt et al. (2003),"McKevitt, T.P.","Nasir, L.","Wallis, C.V.","Argyle, D.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molbert et al. (2021),"Molbert, N.","Angelier, F.","Alliot, F.","Ribout, C.","Goutte, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noguera & Velando (2021),"Noguera, J.C.","Velando, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olsen et al. (2014),"Olsen, M.T.","Robbins, J.","Bérubé, M.","Rew, M.B.","Palsbøll, P.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasiak et al. (2020),"Panasiak, L.","Dobosz, S.","Ocalewicz, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parolini et al. (2015),"Parolini, M.","Romano, A.","Khoriauli, L.","Nergadze, S.G.","Caprioli, M.","Rubolini, D.","Santagostino, M.","Saino, N.","Giulotto, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauli et al. (2011),"Pauli, J.N.","Whiteman, J.P.","Marcot, B.G.","McClean, T.M.","BenDavid, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauliny et al. (2006),"Pauliny, A.","Wagner, R.H.","Augustin, J.","Szép, T.","Blomqvist, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauliny et al. (2012),"Pauliny, A.","Larsson, K.","Blomqvist, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reichert et al. (2015),"Reichert, S.","Rojas, E.R.","Zahn, S.","Robin, J.P.","Criscuolo, F.","Massemin, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
