Paper,Location
Angelier et al. (2013),Jamaica
Apfelbeck et al. (2019),Tanzania
Apfelbeck et al. (2019),United Kingdom
Asghar et al. (2015),Sweden
Aydinonat et al. (2014),Austria
Baerlocher et al. (2003),United States
Barrett et al. (2013),Seychelles
Bauch et al. (2014),Germany
Bauch et al. (2020),Portugal
Bauch et al. (2021),Netherlands
Bauer et al. (2018),United States
Beirne et al. (2014),United Kingdom
Bize et al. (2009),Switzerland
Brümmendorf et al. (2002),Germany
Buddhachat et al. (2017),Thailand
Burraco et al. (2020),Spain
Cerchiara et al. (2017),Argentina
Cherdsukjai et al. (2020),Thailand
Denham et al. (2019),Australia
Fick et al. (2012),Canada
Foley et al. (2018),France
Foley et al. (2018),Germany
Foley et al. (2018),United Kingdom
Foley et al. (2018),Portugal
Froy et al. (2021),United Kingdom
Garde et al. (2010),Norway
Hatase et al. (2008),Japan
Haussmann et al. (2003),United States
Heidinger et al. (2012),United Kingdom
Horn et al. (2008),France
Ineson et al. (2020),United States
Izzo (2010),Australia
Izzo et al. (2011),Australia
Juola et al. (2006),United States
Kärkkäinen et al. (2019),Finland
Kärkkäinen et al. (2021),Finland
Kärkkäinen et al. (2021),United Kingdom
Kärkkäinen et al. (2021),Spain
Kärkkäinen et al. (2021),Estonia
Kirby et al. (2017),United States
Lee et al. (2002),Japan
Leonida et al. (2020),South Africa
Lewin et al. (2015),Kenya
Lundsgaard et al. (2022),Australia
McKevitt et al. (2002),United Kingdom
McKevitt et al. (2003),United Kingdom
Molbert et al. (2021),France
Noguera & Velando (2021),Spain
Olsen et al. (2014),United States
Panasiak et al. (2020),Poland
Parolini et al. (2015),Italy
Pauli et al. (2011),United States
Pauliny et al. (2006),Sweden
Pauliny et al. (2006),Hungary
Pauliny et al. (2012),Sweden
Reichert et al. (2015),Posession Island
Roast et al. (2022),Australia
Salmón et al. (2016),Sweden
Salomons et al. (2009),Netherlands
Sánchez-Montes et al. (2020),Spain
Scott et al. (2006),United States
Seibt et al. (2019),Italy
Simide et al. (2016),France
Soler et al. (2015),Spain
Stier et al. (2020),Sweden
Sudyka et al. (2014),Sweden
Tissier et al. (2022),Canada
Tricola et al. (2018),United States
Ujvari & Madsen (2009),Australia
Ujvari et al. (2017),Australia
Vernasco et al. (2021),Ecuador
Viblanc et al. (2022),Canada
Voillemot et al. (2012),Sweden
Wilbourn et al. (2017),France
Wong (2017),Canada
